Id,Type,Issue,Scenario,Project,HasFix,Migrated
141,BR,numpy/numpy#3793,52,u1,0,0
142,PR,numpy/numpy#3800,52,u1,1,0
143,BR,scikit-learn/scikit-learn#5412,54,d,0,0
144,BR,joblib/joblib#258,54,u1,0,0
145,PR,joblib/joblib#259,54,u1,1,0
146,PR,astropy/astroquery#481,55,u1,1,0
147,BR,astropy/astropy#3399,55,d,0,0
148,BR,mathjax/MathJax#795,56,u1,0,0
149,PR,astropy/astropy#2286,56,d,1,0
150,BR,mathjax/MathJax#795,80,u1,0,0
151,BR,ipython/ipython#5533,80,d,0,0
152,BR,joblib/joblib#198,58,u1,0,0
153,BR,scikit-learn/scikit-learn#4430,58,d,0,0
154,BR,python-pillow/Pillow#350,60,u1,0,0
155,PR,python-pillow/Pillow#2058,60,u1,1,0
156,BR,scipy/scipy#2138,60,d,0,1
157,BR,scipy/scipy#5285,60,d,0,0
158,PR,scipy/scipy#5289,60,d,1,0
159,BR,numpy/numpy#2056,62,u1,0,0
160,PR,numpy/numpy#5858,62,u1,1,0
161,BR,scipy/scipy#3354,62,d,0,0
162,BR,liberfa/erfa#4,64,u1,0,0
163,BR,astropy/astropy#1031,64,d,0,0
164,PR,astropy/astropy#2497,64,d,1,0
165,BR,numpy/numpy#2553,65,u1,0,0
166,BR,numpy/numpy#2410,65,u1,0,0
167,PR,numpy/numpy#5982,65,u1,1,0
168,BR,astropy/astropy#3854,65,d,0,0
169,PR,astropy/astropy#4228,65,d,1,0
170,BR,scikit-learn/scikit-learn#4127,66,u1,0,0
171,BR,joblib/joblib#57,66,d,0,0
172,BR,numpy/numpy#5533,68,u1,0,0
173,PR,numpy/numpy#15012,68,u1,1,0
174,BR,scikit-learn/scikit-learn#4701,68,d,0,0
175,BR,scikit-learn/scikit-learn#4197,68,d,0,0
176,BR,scikit-learn/scikit-learn#10279,68,d,0,0
177,PR,scikit-learn/scikit-learn#11135,68,d,1,0
178,BR,codemirror/CodeMirror5#2410,69,u1,0,0
179,C,codemirror/CodeMirror5#3f1a7bb2f901f65fd5c1d4992153ec1975373c5a,69,u1,1,0
180,BR,ipython/ipython#5135,69,d,0,0
181,PR,ipython/ipython#5479,69,d,1,0
182,PR,ipython/ipython#5797,69,d,1,0
183,PR,numpy/numpy#4586,70,u1,1,0
184,PR,astropy/astropy#3023,70,d,1,0
185,PR,numpy/numpy#5962,81,u1,1,0
186,BR,astropy/astropy#3848,81,d,0,0
187,PR,astropy/astropy#4543,71,d,0,0
188,PR,numpy/numpy#7142,71,u1,0,0
189,PR,numpy/numpy#7156,71,u1,1,0
190,BR,numpy/numpy#4778,74,u1,0,0
191,PR,numpy/numpy#4782,74,u1,1,0
192,BR,astropy/astropy#2281,74,d,0,0
193,BR,numpy/numpy#5895,72,u2,0,0
194,BR,scipy/scipy#4887,72,u1,0,0
195,BR,scipy/scipy#4895,72,u1,0,0
196,PR,scipy/scipy#4896,72,u1,1,0
197,BR,nipy/dipy#611,72,d,0,0
198,PR,nipy/dipy#612,72,d,1,0
199,PR,nipy/dipy#652,72,d,0,0
200,BR,scipy/scipy#5882,59,u1,0,0
201,BR,ContinuumIO/anaconda-issues#650,59,u2,0,0
202,BR,wesleybowman/UTide#30,59,d,0,0
203,PR,wesleybowman/UTide#34,59,d,1,0
204,BR,joblib/joblib#51,57,u1,0,0
205,BR,joblib/joblib#66,57,u1,0,0
206,PR,joblib/joblib#83,57,u1,0,0
207,PR,joblib/joblib#260,57,u1,1,0
208,BR,scikit-learn/scikit-learn#1414,57,d,0,0
209,BR,numpy/numpy#2655,61,u1,0,1
210,C,numpy/numpy#dbf235169ed3386b359caaa9217f5280bf1d6749,61,u1,1,0
211,BR,scipy/scipy#3330,61,d,0,0
212,PR,scipy/scipy#3408,61,d,1,0
